protein_cluster	sequence_id	cluster_size
PC1207	4xl5_1	1
PC1208	4xl5_2	1
PC1209	4xlw_1	1
PC1210	4xlw_2	1
PC1211	4xwj_1	1
PC1212	4xwj_2	1
PC1213	4xxb_1	1
PC1214	4xxw_1	1
PC1215	4y5o_1	1
PC1216	4y5o_2	1
PC1217	4y61_2	1
PC1218	4yc7_1	1
PC1219	4ydh_1	1
PC1220	4ydh_2	1
PC1221	4yeb_1	1
PC1222	4yeb_2	1
PC1223	4yh7_1	1
PC1224	4yh7_2	1
PC1225	4yiz_2	1
PC1226	4yj4_1	1
PC1227	4yl8_1	1
PC1228	4yl8_2	1
PC1229	4yn0_1	1
PC1230	4yn0_2	1
PC1231	4yoc_1	1
PC1232	4yoc_2	1
PC1233	4yvq_1	1
PC1234	4yvq_2	1
PC1235	4yyp_1	1
PC1236	4yyp_2	1
PC1237	4z80_1	1
PC1238	4z80_2	1
PC1239	4zgm_2	1
PC1240	4zgq_1	1
PC1241	4zgq_2	1
PC1242	4zgy_1	1
PC1243	4zgy_2	1
PC1244	4zi2_1	1
PC1245	4zi2_2	1
PC1246	4zii_1	1
PC1247	4zk9_1	1
PC1248	4zqu_1	1
PC1249	4zqu_2	1
PC1250	4zrj_1	1
PC1251	4zrj_2	1
PC1252	4zw2_1	1
PC1253	4zw2_2	1
PC1254	5agw_2	1
PC1255	5b64_1	1
PC1256	5b64_2	1
PC1257	5b75_2	1
PC1258	5bn5_1	1
PC1259	5bn5_2	1
PC1260	5boz_2	1
PC1261	5c3f_2	1
PC1262	5chv_1	1
PC1263	5chv_2	1
PC1264	5ctr_1	1
PC1265	5ctr_2	1
PC1266	5cx3_2	1
PC1267	5czf_1	1
PC1268	5czf_2	1
PC1269	5d1l_2	1
PC1270	5d28_1	1
PC1271	5d28_2	1
PC1272	5d3i_1	1
PC1273	5dcq_1	1
PC1274	5dcq_2	1
PC1275	5dfw_1	1
PC1276	5djt_1	1
PC1277	5dju_2	1
PC1278	5dob_1	1
PC1279	5dob_2	1
PC1280	5e6p_1	1
PC1281	5e6p_2	1
PC1282	5e95_1	1
PC1283	5eb1_1	1
PC1284	5eb1_2	1
PC1285	5ee5_1	1
PC1286	5eg3_1	1
PC1287	5eo9_1	1
PC1288	5eo9_2	1
PC1289	5et1_2	1
PC1290	5f3x_1	1
PC1291	5f3x_2	1
PC1292	5f4e_1	1
PC1293	5f5s_1	1
PC1294	5f5s_2	1
PC1295	5ft8_1	1
PC1296	5ft8_2	1
PC1297	5fw5_1	1
PC1298	5fw5_2	1
PC1299	5fzt_1	1
PC1300	5fzt_2	1
PC1301	5g1x_2	1
PC1302	5gjk_1	1
PC1303	5gjk_2	1
PC1304	5glh_1	1
PC1305	5glh_2	1
PC1306	5gpg_1	1
PC1307	5gpg_2	1
PC1308	5gtb_1	1
PC1309	5gtb_2	1
PC1310	5gy2_1	1
PC1311	5gy2_2	1
PC1312	5h3j_2	1
PC1313	5h7y_1	1
PC1314	5h7y_2	1
PC1315	5h9b_2	1
PC1316	5hpk_1	1
PC1317	5hps_1	1
PC1318	5hu3_2	1
PC1319	5hvf_1	1
PC1320	5imt_1	1
PC1321	5imt_2	1
PC1322	5inb_2	1
PC1323	5ip4_2	1
PC1324	5ixd_1	1
PC1325	5ixd_2	1
PC1326	5j28_2	1
PC1327	5j8h_2	1
PC1328	5jds_2	1
PC1329	5jg6_1	1
PC1330	5jg6_2	1
PC1331	5jjd_1	1
PC1332	5jjd_2	1
PC1333	5jke_1	1
PC1334	5jsn_2	1
PC1335	5jw7_1	1
PC1336	5jw7_2	1
PC1337	5jw9_1	1
PC1338	5jw9_2	1
PC1339	5k22_1	1
PC1340	5k22_2	1
PC1341	5k8q_1	1
PC1342	5k8q_2	1
PC1343	5kho_1	1
PC1344	5kho_2	1
PC1345	5ky5_1	1
PC1346	5ky9_2	1
PC1347	5lgk_1	1
PC1348	5lgk_2	1
PC1349	5lhn_1	1
PC1350	5li1_1	1
PC1351	5li1_2	1
PC1352	5lrw_1	1
PC1353	5lrw_2	1
PC1354	5lxm_2	1
PC1355	5lz3_1	1
PC1356	5lz6_1	1
PC1357	5m2j_1	1
PC1358	5m2m_1	1
PC1359	5m36_1	1
PC1360	5m36_2	1
PC1361	5m72_2	1
PC1362	5ma4_2	1
PC1363	5mak_2	1
PC1364	5me5_1	1
PC1365	5me5_2	1
PC1366	5ml9_1	1
PC1367	5mr4_2	1
PC1368	5mrv_2	1
PC1369	5mtn_1	1
PC1370	5mv8_1	1
PC1371	5mv8_2	1
PC1372	5mv9_2	1
PC1373	5npo_2	1
PC1374	5nt1_1	1
PC1375	5nt1_2	1
PC1376	5nt7_1	1
PC1377	5nt7_2	1
PC1378	5nus_1	1
PC1379	5nus_2	1
PC1380	5nvm_1	1
PC1381	5nvm_2	1
PC1382	5nwm_1	1
PC1383	5nwm_2	1
PC1384	5o05_2	1
PC1385	5o0w_1	1
PC1386	5o2u_1	1
PC1387	5o90_1	1
PC1388	5o90_2	1
PC1389	5oaq_1	1
PC1390	5oaq_2	1
PC1391	5odw_1	1
PC1392	5odw_2	1
PC1393	5oen_1	1
PC1394	5oen_2	1
PC1395	5omb_1	1
PC1396	5omb_2	1
PC1397	5omn_1	1
PC1398	5swk_1	1
PC1399	5swk_2	1
PC1400	5szh_1	1
PC1401	5szi_1	1
PC1402	5szi_2	1
PC1403	5szj_1	1
PC1404	5szj_2	1
PC1405	5szk_1	1
PC1406	5t0f_1	1
PC1407	5t0f_2	1
PC1408	5tar_2	1
PC1409	5tp6_2	1
PC1410	5tvq_1	1
PC1411	5twa_1	1
PC1412	5tzp_1	1
PC1413	5tzq_1	1
PC1414	5u4k_2	1
PC1415	5u52_2	1
PC1416	5ua4_1	1
PC1417	5ufe_2	1
PC1418	5uk5_1	1
PC1419	5uk5_2	1
PC1420	5un5_2	1
PC1421	5un7_1	1
PC1422	5un7_2	1
PC1423	5uwc_1	1
PC1424	5uwc_2	1
PC1425	5v52_1	1
PC1426	5v52_2	1
PC1427	5v5h_1	1
PC1428	5v69_1	1
PC1429	5v6a_1	1
PC1430	5vkl_1	1
PC1431	5vkl_2	1
PC1432	5vko_1	1
PC1433	5vko_2	1
PC1434	5vmo_1	1
PC1435	5vwy_1	1
PC1436	5vx0_1	1
PC1437	5vxz_1	1
PC1438	5vxz_2	1
PC1439	5vz4_2	1
PC1440	5vzm_2	1
PC1441	5w3x_1	1
PC1442	5w3x_2	1
PC1443	5wb7_1	1
PC1444	5wgg_1	1
PC1445	5wgg_2	1
PC1446	5wos_1	1
PC1447	5wrv_1	1
PC1448	5wuj_1	1
PC1449	5wuj_2	1
PC1450	5wy2_1	1
PC1451	5wy2_2	1
PC1452	5x0w_1	1
PC1453	5x0w_2	1
PC1454	5xbf_2	1
PC1455	5xco_2	1
PC1456	5xda_1	1
PC1457	5xda_2	1
PC1458	5xeq_2	1
PC1459	5xiu_1	1
PC1460	5xjg_1	1
PC1461	5xjg_2	1
PC1462	5xln_1	1
PC1463	5xln_2	1
PC1464	5xnp_1	1
PC1465	5xnp_2	1
PC1466	5xoc_1	1
PC1467	5xoc_2	1
PC1468	5xod_1	1
PC1469	5xod_2	1
PC1470	5xqz_1	1
PC1471	5xqz_2	1
PC1472	5xv8_1	1
PC1473	5xwt_2	1
PC1474	5y1z_1	1
PC1475	5y1z_2	1
PC1476	5yi8_1	1
PC1477	5yi8_2	1
PC1478	5yip_1	1
PC1479	5yip_2	1
PC1480	5yqz_1	1
PC1481	5yqz_2	1
PC1482	5yr0_1	1
PC1483	5yr0_2	1
PC1484	5ywr_2	1
PC1485	5z2w_1	1
PC1486	5z2w_2	1
PC1487	5z78_1	1
PC1488	5z78_2	1
PC1489	5zo2_1	1
PC1490	5zo2_2	1
PC1491	5zqv_2	1
PC1492	6aaf_2	1
PC1493	6akm_1	1
PC1494	6akm_2	1
PC1495	6amb_2	1
PC1496	6arq_1	1
PC1497	6arq_2	1
PC1498	6atk_1	1
PC1499	6atk_2	1
PC1500	6aw2_2	1
PC1501	6azp_1	1
PC1502	6b12_1	1
PC1503	6b12_2	1
PC1504	6ba6_1	1
PC1505	6bw9_2	1
PC1506	6bx8_1	1
PC1507	6bxa_1	1
PC1508	6bxa_2	1
PC1509	6cbp_1	1
PC1510	6cwg_1	1
PC1511	6d13_1	1
PC1512	6d13_2	1
PC1513	6dcn_1	1
PC1514	6dgf_1	1
PC1515	6dsl_1	1
PC1516	6dsl_2	1
PC1517	6e2p_1	1
PC1518	6e2p_2	1
PC1519	6eg0_2	1
PC1520	6eg1_2	1
PC1521	6ejm_1	1
PC1522	6er6_1	1
PC1523	6er6_2	1
PC1524	6f0f_2	1
PC1525	6f0g_2	1
PC1526	6f2g_1	1
PC1527	6f3z_1	1
PC1528	6f3z_2	1
PC1529	6f9s_1	1
PC1530	6f9s_2	1
PC1531	6fc3_1	1
PC1532	6fc3_2	1
PC1533	6ff3_1	1
PC1534	6ff3_2	1
PC1535	6fg8_1	1
PC1536	6fg8_2	1
PC1537	6fp7_1	1
PC1538	6fpg_1	1
PC1539	6fpg_2	1
PC1540	6fq0_1	1
PC1541	6fq0_2	1
PC1542	6fuz_1	1
PC1543	6fv0_1	1
PC1544	6g04_1	1
PC1545	6g04_2	1
PC1546	6gbg_2	1
PC1547	6gbh_2	1
PC1548	6gd5_1	1
PC1549	6gd5_2	1
PC1550	6gho_1	1
PC1551	6gho_2	1
PC1552	6gjq_1	1
PC1553	6gum_2	1
PC1554	6gvk_1	1
PC1555	6gvk_2	1
PC1556	6gvl_1	1
PC1557	6gvl_2	1
PC1558	6h16_1	1
PC1559	6h47_1	1
PC1560	6h9n_1	1
PC1561	6h9n_2	1
PC1562	6her_1	1
PC1563	6ht9_2	1
PC1564	6hul_1	1
PC1565	6hul_2	1
PC1566	6i07_2	1
PC1567	6i2m_1	1
PC1568	6i2m_2	1
PC1569	6i3f_1	1
PC1570	6i3f_2	1
PC1571	6ib8_1	1
PC1572	6ib8_2	1
PC1573	6idx_1	1
PC1574	6idx_2	1
PC1575	6ihb_1	1
PC1576	6im9_1	1
PC1577	6im9_2	1
PC1578	6imf_1	1
PC1579	6imf_2	1
PC1580	6in9_1	1
PC1581	6in9_2	1
PC1582	6ird_1	1
PC1583	6ird_2	1
PC1584	6isc_1	1
PC1585	6isc_2	1
PC1586	6ivu_1	1
PC1587	6ivu_2	1
PC1588	6iw8_1	1
PC1589	6iw8_2	1
PC1590	6iwa_1	1
PC1591	6iwd_1	1
PC1592	6iwd_2	1
PC1593	6j4o_1	1
PC1594	6j4o_2	1
PC1595	6j4s_1	1
PC1596	6j4s_2	1
PC1597	6j56_1	1
PC1598	6j7w_2	1
PC1599	6j9h_1	1
PC1600	6j9h_2	1
PC1601	6jb8_1	1
PC1602	6jcs_2	1
PC1603	6jjw_1	1
PC1604	6jjw_2	1
PC1605	6jwj_1	1
PC1606	6jwj_2	1
PC1607	6k06_1	1
PC1608	6k4k_1	1
PC1609	6k4k_2	1
PC1610	6kbr_2	1
PC1611	6m7l_1	1
PC1612	6m7l_2	1
PC1613	6m9k_1	1
PC1614	6m9k_2	1
PC1615	6mav_2	1
PC1616	6mc9_1	1
PC1617	6mkz_1	1
PC1618	6mkz_2	1
PC1619	6mm6_2	1
PC1620	6n85_1	1
PC1621	6n85_2	1
PC1622	6n9d_2	1
PC1623	6o3o_1	1
PC1624	6o3o_2	1
PC1625	6oan_1	1
PC1626	6obn_1	1
PC1627	6obn_2	1
PC1628	6on9_1	1
PC1629	6on9_2	1
PC1630	6oqq_1	1
PC1631	6osw_1	1
PC1632	6osw_2	1
PC1633	6ov2_1	1
PC1634	6ov2_2	1
PC1635	6p7s_2	1
PC1636	6p7y_2	1
PC1637	6plm_1	1
PC1638	6plm_2	1
PC1639	6pnp_1	1
PC1640	6pnp_2	1
PC1641	6pnq_1	1
PC1642	6pnq_2	1
PC1643	6q69_1	1
PC1644	6q69_2	1
PC1645	6r2g_1	1
PC1646	6r2g_2	1
PC1647	6s29_1	1
PC1648	6s29_2	1
PC1649	6saz_2	1
PC1650	6umt_1	1
PC1651	6umt_2	1
